temp,humidity,is_peak_hour,season_Spring,year_2011,year_2012,hour_1,hour_2,hour_3,hour_4,hour_5,hour_17,hour_18,total_count
0.24,0.81,1,1,1,0,0,0,0,0,0,0,0,4.361876293217081
0.22,0.8,1,1,1,0,1,0,0,0,0,0,0,6.827896744335756
0.22,0.8,1,1,1,0,0,1,0,0,0,0,0,6.162336593613656
0.24,0.75,1,1,1,0,0,0,1,0,0,0,0,3.892645485956258
0.24,0.75,1,1,1,0,0,0,0,1,0,0,0,0.0
0.24,0.75,1,1,1,0,0,0,0,0,1,0,0,0.0
0.22,0.8,1,1,1,0,0,0,0,0,0,0,0,0.7719837147172207
0.2,0.86,1,1,1,0,0,0,0,0,0,0,0,1.3054005090343679
0.24,0.75,1,1,1,0,0,0,0,0,0,0,0,2.904942901727107
0.32,0.76,1,1,1,0,0,0,0,0,0,0,0,4.056712767789176
0.38,0.76,0,1,1,0,0,0,0,0,0,0,0,6.507987106125536
0.36,0.81,0,1,1,0,0,0,0,0,0,0,0,7.921286281476679
0.42,0.77,0,1,1,0,0,0,0,0,0,0,0,9.397242305976315
0.45999999999999996,0.72,0,1,1,0,0,0,0,0,0,0,0,9.84011927869973
0.45999999999999996,0.72,0,1,1,0,0,0,0,0,0,0,0,10.330293108719038
0.44,0.77,0,1,1,0,0,0,0,0,0,0,0,10.48508059146678
0.42,0.82,0,1,1,0,0,0,0,0,0,0,0,9.797349448557815
0.44,0.82,1,1,1,0,0,0,0,0,0,1,0,8.551631998204705
0.42,0.88,1,1,1,0,0,0,0,0,0,0,1,6.424180908016997
0.42,0.88,1,1,1,0,0,0,0,0,0,0,0,6.590191605438041
0.4,0.87,1,1,1,0,0,0,0,0,0,0,0,6.507987106125536
0.4,0.87,1,1,1,0,0,0,0,0,0,0,0,6.338694666990317
0.4,0.94,1,1,1,0,0,0,0,0,0,0,0,5.785219275916581
0.45999999999999996,0.88,1,1,1,0,0,0,0,0,0,0,0,6.750081158403143
0.45999999999999996,0.88,1,1,1,0,0,0,0,0,0,0,0,4.504585335957261
0.44,0.94,1,1,1,0,1,0,0,0,0,0,0,4.504585335957261
0.42,1.0,1,1,1,0,0,1,0,0,0,0,0,3.131276745865517
0.45999999999999996,0.94,1,1,1,0,0,0,1,0,0,0,0,2.3851815495408415
0.45999999999999996,0.94,1,1,1,0,0,0,0,1,0,0,0,1.3054005090343679
